sample_id,platform_id_x,type,provider,molecular_characterisation_type,instrument_model,library_strategy,platform_id_y,model_id
HCM-BROD-0235-C16-85B-01D-A79C-36,wxs_GRCh38_Other,mut,BROD,mutation,Other,WES,wxs_GRCh38_Other,HCM-BROD-0235-C16
HCM-BROD-0229-C25-85A-01D-A786-36,wxs_GRCh38_Illumina_HiSeq_X_Ten,mut,BROD,mutation,Illumina HiSeq X Ten,WES,wxs_GRCh38_Illumina_HiSeq_X_Ten,HCM-BROD-0229-C25
HCM-BROD-0007-C49-85B-01D-A78T-36,wxs_GRCh38_Illumina_HiSeq_X_Ten,mut,BROD,mutation,Illumina HiSeq X Ten,WES,wxs_GRCh38_Illumina_HiSeq_X_Ten,HCM-BROD-0007-C49
HCM-BROD-0209-C71-85A-01D-A786-36,wxs_GRCh38_Illumina_HiSeq_X_Ten,mut,BROD,mutation,Illumina HiSeq X Ten,WES,wxs_GRCh38_Illumina_HiSeq_X_Ten,HCM-BROD-0209-C71
HCM-BROD-0028-C71-85A-01D-A77E-36,wxs_GRCh38_Illumina_HiSeq_X_Ten,mut,BROD,mutation,Illumina HiSeq X Ten,WES,wxs_GRCh38_Illumina_HiSeq_X_Ten,HCM-BROD-0028-C71
HCM-BROD-0210-C71-85R-01D-A78T-36,wxs_GRCh38_Illumina_HiSeq_X_Ten,mut,BROD,mutation,Illumina HiSeq X Ten,WES,wxs_GRCh38_Illumina_HiSeq_X_Ten,HCM-BROD-0210-C71
HCM-BROD-0104-C71-85B-01D-A78T-36,wxs_GRCh38_Illumina_HiSeq_X_Ten,mut,BROD,mutation,Illumina HiSeq X Ten,WES,wxs_GRCh38_Illumina_HiSeq_X_Ten,HCM-BROD-0104-C71
HCM-BROD-0027-C34-85A-01D-A786-36,wxs_GRCh38_Illumina_HiSeq_X_Ten,mut,BROD,mutation,Illumina HiSeq X Ten,WES,wxs_GRCh38_Illumina_HiSeq_X_Ten,HCM-BROD-0027-C34
HCM-BROD-0223-C43-85M-01D-A78T-36,wxs_GRCh38_Illumina_HiSeq_X_Ten,mut,BROD,mutation,Illumina HiSeq X Ten,WES,wxs_GRCh38_Illumina_HiSeq_X_Ten,HCM-BROD-0223-C43
HCM-BROD-0339-C43-85M-01D-A79C-36,wxs_GRCh38_Other,mut,BROD,mutation,Other,WES,wxs_GRCh38_Other,HCM-BROD-0339-C43
HCM-BROD-0043-C16-85B-01D-A79L-36,wxs_GRCh38_Other,mut,BROD,mutation,Other,WES,wxs_GRCh38_Other,HCM-BROD-0043-C16
HCM-BROD-0199-C71-85A-01D-A786-36,wxs_GRCh38_Illumina_HiSeq_X_Ten,mut,BROD,mutation,Illumina HiSeq X Ten,WES,wxs_GRCh38_Illumina_HiSeq_X_Ten,HCM-BROD-0199-C71
HCM-BROD-0332-C43-85M-01D-A78T-36,wxs_GRCh38_Illumina_HiSeq_X_Ten,mut,BROD,mutation,Illumina HiSeq X Ten,WES,wxs_GRCh38_Illumina_HiSeq_X_Ten,HCM-BROD-0332-C43
HCM-BROD-0048-C71-85A-01D-A79L-36,wxs_GRCh38_Other,mut,BROD,mutation,Other,WES,wxs_GRCh38_Other,HCM-BROD-0048-C71
HCM-BROD-0106-C71-85A-01D-A79L-36,wxs_GRCh38_Other,mut,BROD,mutation,Other,WES,wxs_GRCh38_Other,HCM-BROD-0106-C71
HCM-BROD-0036-C41-85A-01D-A786-36,wxs_GRCh38_Illumina_HiSeq_X_Ten,mut,BROD,mutation,Illumina HiSeq X Ten,WES,wxs_GRCh38_Illumina_HiSeq_X_Ten,HCM-BROD-0036-C41
HCM-BROD-0098-C15-85A-01D-A79C-36,wxs_GRCh38_Other,mut,BROD,mutation,Other,WES,wxs_GRCh38_Other,HCM-BROD-0098-C15
HCM-BROD-0020-C15-85A-01D-A79L-36,wxs_GRCh38_Other,mut,BROD,mutation,Other,WES,wxs_GRCh38_Other,HCM-BROD-0020-C15
HCM-BROD-0213-C71-85A-01D-A786-36,wxs_GRCh38_Illumina_HiSeq_X_Ten,mut,BROD,mutation,Illumina HiSeq X Ten,WES,wxs_GRCh38_Illumina_HiSeq_X_Ten,HCM-BROD-0213-C71
HCM-BROD-0014-C71-85B-01D-A77E-36,wxs_GRCh38_Illumina_HiSeq_X_Ten,mut,BROD,mutation,Illumina HiSeq X Ten,WES,wxs_GRCh38_Illumina_HiSeq_X_Ten,HCM-BROD-0014-C71
HCM-BROD-0234-C49-85M-01D-A80U-36,wxs_GRCh38_Other,mut,BROD,mutation,Other,WES,wxs_GRCh38_Other,HCM-BROD-0234-C49
HCM-BROD-0198-C71-85B-01D-A78T-36,wxs_GRCh38_Illumina_HiSeq_X_Ten,mut,BROD,mutation,Illumina HiSeq X Ten,WES,wxs_GRCh38_Illumina_HiSeq_X_Ten,HCM-BROD-0198-C71
HCM-BROD-0095-C15-85A-01D-A79C-36,wxs_GRCh38_Other,mut,BROD,mutation,Other,WES,wxs_GRCh38_Other,HCM-BROD-0095-C15
HCM-BROD-0025-C16-85A-01D-A80U-36,wxs_GRCh38_Other,mut,BROD,mutation,Other,WES,wxs_GRCh38_Other,HCM-BROD-0025-C16
